Time [s],PIN 0,TX
1.611473750,0,0
1.611913208,1,0
1.611976417,0,0
1.612133125,0,1
1.612602042,0,0
1.613041667,1,0
1.613104917,0,0
1.613261875,0,1
1.613730542,0,0
1.614170125,1,0
1.614233375,0,0
1.614390292,0,1
1.614859208,0,0
1.615298583,1,0
1.615361833,0,0
1.615518208,0,1
1.615987417,0,0
1.616427000,1,0
1.616490250,0,0
1.616647042,0,1
1.617115833,0,0
1.617555417,1,0
1.617618625,0,0
1.617775292,0,1
1.618244417,0,0
1.618683958,1,0
1.618747167,0,0
1.618904125,0,1
1.619373250,0,0
1.619812333,1,0
1.619875542,0,0
1.620032417,0,1
1.620500750,0,0
1.620940792,1,0
1.621004042,0,0
1.621160750,0,1
1.621629667,0,0
1.622069250,1,0
1.622132500,0,0
1.622289333,0,1
1.622758375,0,0
1.623197708,1,0
1.623261000,0,0
1.623417833,0,1
1.623886458,0,0
1.624326125,1,0
1.624389375,0,0
1.624546083,0,1
1.625014500,0,0
1.625454542,1,0
1.625517792,0,0
1.625674458,0,1
1.626143125,0,0
1.626583083,1,0
1.626646333,0,0
1.626803167,0,1
1.627272208,0,0
1.627711500,1,0
1.627774750,0,0
1.627931625,0,1
1.628400708,0,0
1.628839875,1,0
1.628903083,0,0
1.629059875,0,1
1.629528667,0,0
1.629968333,1,0
1.630031542,0,0
1.630188375,0,1
1.630657500,0,0
1.631096792,1,0
1.631160042,0,0
1.631316917,0,1
1.631785958,0,0
1.632225250,1,0
1.632288500,0,0
1.632445458,0,1
1.632914583,0,0
1.633353708,1,0
1.633416917,0,0
1.633573750,0,1
1.634042875,0,0
1.634482167,1,0
1.634545417,0,0
1.634702167,0,1
1.635171042,0,0
1.635610625,1,0
1.635673833,0,0
1.635830667,0,1
1.636299542,0,0
1.636739000,1,0
1.636802250,0,0
1.636959000,0,1
1.637427708,0,0
1.637867500,1,0
1.637930750,0,0
1.638087708,0,1
1.638556875,0,0
1.638995875,1,0
1.639059125,0,0
1.639215958,0,1
1.639684708,0,0
1.640124375,1,0
1.640187667,0,0
1.640344833,0,1
1.640813708,0,0
1.641252833,1,0
1.641316125,0,0
1.641472833,0,1
1.641941292,0,0
1.642381250,1,0
1.642444458,0,0
1.642601667,0,1
1.643070458,0,0
1.643509708,1,0
1.643572958,0,0
1.643729792,0,1
1.644198833,0,0
1.644638167,1,0
1.644701417,0,0
1.644858333,0,1
