Time [s],PIN 0,TX
2.026046250,0,0
2.026202708,0,1
2.026843917,0,0
2.028315708,1,0
2.028389917,0,0
2.028546333,0,1
2.029187292,0,0
2.030659375,1,0
2.030733583,0,0
2.030889917,0,1
2.031530833,0,0
2.033003083,1,0
2.033077292,0,0
2.033233500,0,1
2.033874167,0,0
2.035346792,1,0
2.035421000,0,0
2.035577208,0,1
2.036217958,0,0
2.037690583,1,0
2.037764792,0,0
2.037924625,0,1
2.038565792,0,0
2.040034208,1,0
2.040108417,0,0
2.040264667,0,1
2.040905667,0,0
2.042377958,1,0
2.042452167,0,0
2.042608500,0,1
2.043249458,0,0
2.044721583,1,0
2.044795833,0,0
2.044952333,0,1
2.045593375,0,0
2.047065250,1,0
2.047139500,0,0
2.047295708,0,1
2.047936458,0,0
2.049409042,1,0
2.049483250,0,0
2.049639875,0,1
2.050280875,0,0
2.051752667,1,0
2.051826917,0,0
2.051983375,0,1
2.052624458,0,0
2.054096333,1,0
2.054170542,0,0
2.054327083,0,1
2.054968125,0,0
2.056440042,1,0
2.056514292,0,0
2.056670667,0,1
2.057311667,0,0
2.058783708,1,0
2.058857958,0,0
2.059014333,0,1
2.059655542,0,0
2.061127417,1,0
2.061201667,0,0
2.061357875,0,1
2.061998667,0,0
2.063471167,1,0
2.063545417,0,0
2.063701583,0,1
2.064342417,0,0
2.065814875,1,0
2.065889125,0,0
2.066045458,0,1
2.066686417,0,0
2.068158542,1,0
2.068232750,0,0
2.068388958,0,1
2.069029917,0,0
2.070502292,1,0
2.070576500,0,0
2.070736167,0,1
2.071377208,0,0
2.072845917,1,0
2.072920125,0,0
2.073076417,0,1
2.073717375,0,0
2.075189625,1,0
2.075263833,0,0
2.075423667,0,1
2.076064833,0,0
2.077533292,1,0
2.077607542,0,0
2.077763750,0,1
2.078404917,0,0
2.079877000,1,0
2.079951208,0,0
2.080107333,0,1
2.080748167,0,0
2.082220750,1,0
2.082294958,0,0
2.082451417,0,1
2.083092625,0,0
2.084564375,1,0
2.084638583,0,0
2.084794708,0,1
2.085435833,0,0
2.086908125,1,0
2.086982333,0,0
2.087138708,0,1
2.087779875,0,0
2.089251792,1,0
2.089326000,0,0
2.089482292,0,1
2.090123458,0,0
2.091595458,1,0
2.091669667,0,0
2.091825875,0,1
2.092466875,0,0
2.093939167,1,0
2.094013375,0,0
2.094169667,0,1
2.094810750,0,0
2.096282875,1,0
2.096357083,0,0
2.096513417,0,1
2.097154667,0,0
2.098626583,1,0
2.098700792,0,0
2.098857125,0,1
2.099498333,0,0
2.100970292,1,0
